group_id,event_index,event_token,token_ioi_class,token_strength_class,onset_seconds,ioi_seconds,onset_strength_norm,candidate_event_id,clip_filename,clip_path,token_rule
PERF-001,1,START_WEAK,START,WEAK,0.476009,,0.010559,PERF-001-CAND-0001,PERF-001_event_0001_PERF-001-CAND-0001.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0001_PERF-001-CAND-0001.wav,IOI tertile + onset-strength tertile; first event per recording uses START
PERF-001,2,LONG_STRONG,LONG,STRONG,2.693515,2.217506,0.036993,PERF-001-CAND-0002,PERF-001_event_0002_PERF-001-CAND-0002.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0002_PERF-001-CAND-0002.wav,IOI tertile + onset-strength tertile; first event per recording uses START
PERF-001,3,SHORT_STRONG,SHORT,STRONG,3.239184,0.5456689999999997,0.045541,PERF-001-CAND-0003,PERF-001_event_0003_PERF-001-CAND-0003.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0003_PERF-001-CAND-0003.wav,IOI tertile + onset-strength tertile; first event per recording uses START
PERF-001,4,MEDIUM_MEDIUM,MEDIUM,MEDIUM,3.831293,0.5921090000000002,0.03071,PERF-001-CAND-0004,PERF-001_event_0004_PERF-001-CAND-0004.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0004_PERF-001-CAND-0004.wav,IOI tertile + onset-strength tertile; first event per recording uses START
PERF-001,5,MEDIUM_MEDIUM,MEDIUM,MEDIUM,4.95746,1.1261670000000001,0.034913,PERF-001-CAND-0005,PERF-001_event_0005_PERF-001-CAND-0005.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0005_PERF-001-CAND-0005.wav,IOI tertile + onset-strength tertile; first event per recording uses START
PERF-001,6,SHORT_STRONG,SHORT,STRONG,5.514739,0.5572789999999994,0.043318,PERF-001-CAND-0006,PERF-001_event_0006_PERF-001-CAND-0006.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0006_PERF-001-CAND-0006.wav,IOI tertile + onset-strength tertile; first event per recording uses START
PERF-001,7,LONG_STRONG,LONG,STRONG,6.664127,1.149388,0.038952,PERF-001-CAND-0007,PERF-001_event_0007_PERF-001-CAND-0007.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0007_PERF-001-CAND-0007.wav,IOI tertile + onset-strength tertile; first event per recording uses START
PERF-001,8,MEDIUM_STRONG,MEDIUM,STRONG,7.233016,0.5688890000000004,0.046013,PERF-001-CAND-0008,PERF-001_event_0008_PERF-001-CAND-0008.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0008_PERF-001-CAND-0008.wav,IOI tertile + onset-strength tertile; first event per recording uses START
PERF-001,9,MEDIUM_STRONG,MEDIUM,STRONG,7.813515,0.5804989999999997,0.045462,PERF-001-CAND-0009,PERF-001_event_0009_PERF-001-CAND-0009.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0009_PERF-001-CAND-0009.wav,IOI tertile + onset-strength tertile; first event per recording uses START
PERF-001,10,SHORT_WEAK,SHORT,WEAK,8.370794,0.5572790000000003,0.025006,PERF-001-CAND-0010,PERF-001_event_0010_PERF-001-CAND-0010.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0010_PERF-001-CAND-0010.wav,IOI tertile + onset-strength tertile; first event per recording uses START
PERF-001,11,MEDIUM_STRONG,MEDIUM,STRONG,9.508571,1.1377769999999998,0.042753,PERF-001-CAND-0011,PERF-001_event_0011_PERF-001-CAND-0011.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0011_PERF-001-CAND-0011.wav,IOI tertile + onset-strength tertile; first event per recording uses START
PERF-001,12,LONG_MEDIUM,LONG,MEDIUM,10.669569,1.1609979999999993,0.034404,PERF-001-CAND-0012,PERF-001_event_0012_PERF-001-CAND-0012.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0012_PERF-001-CAND-0012.wav,IOI tertile + onset-strength tertile; first event per recording uses START
